,trip_distance_id,trip_distance
862,862,2.13
863,863,0.82
864,864,9.22
865,865,2.13
866,866,0.91
867,867,3.1
868,868,1.54
869,869,0.8
870,870,1.8
871,871,0.75
872,872,0.0
873,873,0.87
874,874,1.42
875,875,0.9
876,876,12.05
877,877,1.05
878,878,3.31
879,879,2.5
880,880,2.65
881,881,1.93
882,882,0.77
883,883,0.9
884,884,2.4
885,885,7.53
886,886,3.1
887,887,0.49
888,888,1.6
889,889,1.31
890,890,1.04
891,891,3.01
892,892,1.4
893,893,5.1
894,894,1.17
895,895,0.43
896,896,2.73
897,897,1.54
898,898,1.67
899,899,1.86
900,900,1.32
901,901,1.66
902,902,0.72
903,903,2.83
904,904,1.3
905,905,3.01
906,906,2.22
907,907,2.25
908,908,1.84
909,909,0.93
910,910,1.83
911,911,1.37
912,912,2.2
913,913,1.63
914,914,1.33
915,915,0.79
916,916,0.75
917,917,0.52
918,918,0.99
919,919,2.25
920,920,1.65
921,921,0.78
922,922,1.08
923,923,0.99
924,924,1.01
925,925,2.8
926,926,1.0
927,927,2.77
928,928,2.61
929,929,0.86
930,930,2.41
931,931,2.66
932,932,1.73
933,933,2.56
934,934,1.61
935,935,1.6
936,936,2.07
937,937,1.51
938,938,0.61
939,939,1.72
940,940,5.99
941,941,0.91
942,942,4.87
943,943,0.66
944,944,4.19
945,945,2.45
946,946,1.26
947,947,1.55
948,948,1.33
949,949,0.85
950,950,3.03
951,951,2.05
952,952,2.74
953,953,0.78
954,954,1.8
955,955,1.32
956,956,1.16
957,957,0.67
958,958,2.47
959,959,0.63
960,960,4.88
961,961,2.97
962,962,2.07
963,963,2.83
964,964,2.46
965,965,2.18
966,966,2.21
967,967,0.5
968,968,2.13
969,969,10.93
970,970,2.72
971,971,9.09
972,972,0.58
973,973,1.25
974,974,1.05
975,975,4.9
976,976,1.57
977,977,2.25
978,978,1.92
979,979,1.35
980,980,2.96
981,981,2.4
982,982,3.11
983,983,0.86
984,984,1.71
985,985,2.88
986,986,1.46
987,987,1.09
988,988,2.06
989,989,1.96
990,990,2.34
991,991,6.79
992,992,18.24
993,993,2.6
994,994,12.54
995,995,1.22
996,996,3.37
997,997,1.78
998,998,1.93
999,999,1.79
1000,1000,3.07
1001,1001,1.5
1002,1002,1.1
1003,1003,4.81
1004,1004,4.23
1005,1005,0.74
1006,1006,1.77
1007,1007,3.05
1008,1008,1.19
1009,1009,1.08
1010,1010,10.26
1011,1011,0.94
1012,1012,1.2
1013,1013,0.66
1014,1014,11.38
1015,1015,0.87
1016,1016,2.26
1017,1017,1.62
1018,1018,3.29
1019,1019,1.13
1020,1020,1.07
1021,1021,3.01
1022,1022,1.04
1023,1023,3.94
1024,1024,1.1
1025,1025,3.84
1026,1026,5.77
1027,1027,1.12
1028,1028,3.31
1029,1029,2.42
1030,1030,1.17
1031,1031,5.17
1032,1032,1.09
1033,1033,0.67
1034,1034,2.05
1035,1035,0.94
1036,1036,0.81
1037,1037,2.06
1038,1038,5.97
1039,1039,1.01
1040,1040,0.84
1041,1041,17.77
1042,1042,0.64
1043,1043,1.74
1044,1044,3.77
1045,1045,1.9
1046,1046,2.59
1047,1047,20.3
1048,1048,0.76
1049,1049,4.83
1050,1050,1.33
1051,1051,0.9
1052,1052,1.93
1053,1053,1.15
1054,1054,10.28
1055,1055,0.0
1056,1056,6.14
1057,1057,1.08
1058,1058,1.1
1059,1059,1.2
1060,1060,2.89
1061,1061,2.93
1062,1062,4.58
1063,1063,0.97
1064,1064,1.1
1065,1065,2.17
1066,1066,0.96
1067,1067,0.91
1068,1068,2.06
1069,1069,2.17
1070,1070,0.78
1071,1071,2.14
1072,1072,2.29
1073,1073,4.17
1074,1074,0.53
1075,1075,1.47
1076,1076,1.83
1077,1077,0.95
1078,1078,1.75
1079,1079,1.44
1080,1080,3.23
1081,1081,2.01
1082,1082,0.5
1083,1083,1.76
1084,1084,3.53
1085,1085,1.5
1086,1086,0.91
1087,1087,1.39
1088,1088,1.43
1089,1089,0.87
1090,1090,2.24
1091,1091,3.44
1092,1092,1.13
1093,1093,1.28
1094,1094,3.02
1095,1095,1.27
1096,1096,1.29
1097,1097,7.5
